method,CARLA,COCO,ratio,gamma,inversion
Gram_std γ/10,2.967141e-01,1.662891e-01,1.7843,2.0904e-07,False
Gram_std γ_med,9.898711e-01,4.922367e-01,2.0110,2.0904e-06,False
Gram_std 10×γ,5.279826e-02,1.414736e-02,3.7320,2.0904e-05,False
Gram_std 100×γ,3.345627e-03,9.347727e-09,357908.0375,2.0904e-04,False
Gram_raw γ/10,3.417013e-01,1.867924e-01,1.8293,1.2374e-11,False
Gram_raw γ_med,1.062999e+00,5.030963e-01,2.1129,1.2374e-10,False
Gram_raw 10×γ,1.000050e-01,2.619161e-02,3.8182,1.2374e-09,False
Gram_raw 100×γ,7.349812e-03,8.520483e-07,8626.0509,1.2374e-08,False
CMMD γ=0.005,7.451031e-01,4.482192e-01,1.6624,5.0000e-03,False
CMMD γ_med,7.549883e-01,4.484147e-01,1.6837,5.3656e-03,False
Cosine CLIP,4.171959e-01,5.352284e-01,0.7795,,True
FID CLIP,2.166912e+02,2.406540e+02,0.9004,,True
