method,gtav,coco,ratio,gamma,inversion
Gram_std γ/10,6.364667e-02,6.724381e-02,0.9465,2.1217e-07,True
Gram_std γ_med,2.985002e-01,2.946482e-01,1.0131,2.1217e-06,False
Gram_std 10×γ,2.716107e-02,2.438232e-02,1.1140,2.1217e-05,False
Gram_std 100×γ,8.411722e-04,8.411718e-04,1.0000,2.1217e-04,False
Gram_raw γ/10,7.940710e-02,6.669414e-02,1.1906,6.1567e-12,False
Gram_raw γ_med,3.675125e-01,2.919185e-01,1.2590,6.1567e-11,False
Gram_raw 10×γ,5.823678e-02,4.690723e-02,1.2415,6.1567e-10,False
Gram_raw 100×γ,1.844877e-03,1.844383e-03,1.0003,6.1567e-09,False
CMMD γ=0.005,7.449790e-01,3.371757e-01,2.2095,5.0000e-03,False
CMMD γ_med,6.938052e-01,3.284634e-01,2.1123,3.6017e-03,False
Cosine CLIP,4.844735e-01,5.335822e-01,0.9080,,True
FID CLIP,2.502602e+02,2.398069e+02,1.0436,,False
