key,backbone,layer,gamma_tag,gamma_val,label,spearman,spearman_p,kendall,kendall_p,spearman_lv,mono_strict,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
sd_vae_l11_gamma_div100,sd_vae,11,gamma_div100,2.1285e-08,SD-VAE L11  γ/100  γ=2.13e-08,0.237673,5.0715e-130,0.161217,1.2321e-129,0.211642,0.438025,2025,9.479118e-03,1.057695e-02,1.171670e-02,1.354257e-02,1.709885e-02
sd_vae_l11_gamma_med,sd_vae,11,gamma_med,2.1285e-06,SD-VAE L11  γ_med  γ=2.13e-06,0.239133,1.2041e-131,0.162249,2.8276e-131,0.212162,0.441481,2025,5.888295e-01,6.195840e-01,6.495758e-01,7.009398e-01,7.844136e-01
sd_vae_l11_10x_gamma,sd_vae,11,10x_gamma,2.1285e-05,SD-VAE L11  10×γ  γ=2.13e-05,0.256751,3.8477e-152,0.174569,1.1967e-151,0.223873,0.461728,2025,1.005234e+00,1.007108e+00,1.008830e+00,1.011874e+00,1.014755e+00
dc_ae_l8_gamma_div100,dc_ae,8,gamma_div100,2.4842e-08,DC-AE L8  γ/100  γ=2.48e-08,0.379928,0.0000e+00,0.261440,0.0000e+00,0.324730,0.562963,2025,1.612853e-02,2.043642e-02,2.500969e-02,3.131661e-02,4.335191e-02
dc_ae_l8_gamma_med,dc_ae,8,gamma_med,2.4842e-06,DC-AE L8  γ_med  γ=2.48e-06,0.378636,0.0000e+00,0.260497,0.0000e+00,0.323873,0.564444,2025,7.467749e-01,8.200945e-01,8.853374e-01,9.833341e-01,1.101561e+00
dc_ae_l8_10x_gamma,dc_ae,8,10x_gamma,2.4842e-05,DC-AE L8  10×γ  γ=2.48e-05,0.381934,0.0000e+00,0.262767,0.0000e+00,0.327187,0.523457,2025,1.013798e+00,1.016456e+00,1.018078e+00,1.019806e+00,1.020973e+00
dinov2_vitb14_l3_gamma_div100,dinov2_vitb14,3,gamma_div100,9.0284e-09,DINOv2 L3  γ/100  γ=9.03e-09,0.421287,0.0000e+00,0.287757,0.0000e+00,0.383860,0.579259,2025,8.276614e-03,9.724633e-03,1.155033e-02,1.741671e-02,2.993902e-02
dinov2_vitb14_l3_gamma_med,dinov2_vitb14,3,gamma_med,9.0284e-07,DINOv2 L3  γ_med  γ=9.03e-07,0.421577,0.0000e+00,0.287970,0.0000e+00,0.383914,0.577778,2025,5.608194e-01,6.164966e-01,6.674682e-01,7.553062e-01,8.953226e-01
dinov2_vitb14_l3_10x_gamma,dinov2_vitb14,3,10x_gamma,9.0284e-06,DINOv2 L3  10×γ  γ=9.03e-06,0.425413,0.0000e+00,0.290690,0.0000e+00,0.385267,0.567407,2025,1.008532e+00,1.010474e+00,1.011599e+00,1.013280e+00,1.014504e+00
CMMD,clip_vit_large,0,fixed,5.0000e-03,CMMD CLIP-L/14  γ=5.000e-03,0.112061,1.1684e-29,0.075858,4.2593e-30,0.100158,0.119012,2025,8.414584e-01,8.426979e-01,8.435391e-01,8.448975e-01,8.467613e-01
