key,backbone,layer,gamma_tag,gamma_val,label,spearman,spearman_p,kendall,kendall_p,spearman_lv,mono_strict,mono_partial,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
sd_vae_l11_median,sd_vae,11,median,2.0158e-06,SD-VAE L11  γ=2.02e-06 (median),0.288344,4.2742e-193,0.195750,3.7083e-190,0.260783,0.457284,0.671111,2025,3.949898e-01,4.183276e-01,4.437980e-01,4.899819e-01,5.700077e-01
sd_vae_l11_10x_median,sd_vae,11,10x_median,2.0158e-05,SD-VAE L11  γ=2.02e-05 (10x_median),0.452794,0.0000e+00,0.309151,0.0000e+00,0.375513,0.610370,0.799012,2025,9.698992e-01,9.771048e-01,9.835741e-01,9.942308e-01,1.005254e+00
sd_vae_l11_50x_median,sd_vae,11,50x_median,1.0079e-04,SD-VAE L11  γ=1.01e-04 (50x_median),0.751286,0.0000e+00,0.562809,0.0000e+00,0.576096,0.613827,0.821728,2025,9.976946e-01,1.002786e+00,1.005705e+00,1.008608e+00,1.010650e+00
dc_ae_l8_median,dc_ae,8,median,2.3759e-06,DC-AE L8  γ=2.38e-06 (median),0.428152,0.0000e+00,0.295051,0.0000e+00,0.362620,0.600494,0.752099,2025,4.524362e-01,5.204514e-01,5.835513e-01,6.783773e-01,8.121772e-01
dc_ae_l8_10x_median,dc_ae,8,10x_median,2.3759e-05,DC-AE L8  γ=2.38e-05 (10x_median),0.515276,0.0000e+00,0.355719,0.0000e+00,0.420322,0.638025,0.768889,2025,9.774973e-01,9.917648e-01,1.001262e+00,1.012279e+00,1.021294e+00
dc_ae_l8_50x_median,dc_ae,8,50x_median,1.1879e-04,DC-AE L8  γ=1.19e-04 (50x_median),0.605525,0.0000e+00,0.455359,0.0000e+00,0.452306,0.291358,0.520494,2025,1.003078e+00,1.007200e+00,1.008582e+00,1.010084e+00,1.011100e+00
dinov2_vitb14_l3_median,dinov2_vitb14,3,median,8.8086e-07,DINOv2 L3  γ=8.81e-07 (median),0.478248,0.0000e+00,0.327550,0.0000e+00,0.423724,0.627160,0.765926,2025,4.346527e-01,4.929198e-01,5.454852e-01,6.386024e-01,7.840466e-01
dinov2_vitb14_l3_10x_median,dinov2_vitb14,3,10x_median,8.8086e-06,DINOv2 L3  γ=8.81e-06 (10x_median),0.587769,0.0000e+00,0.409887,0.0000e+00,0.480322,0.702222,0.840494,2025,9.892797e-01,9.981063e-01,1.003353e+00,1.009694e+00,1.014600e+00
dinov2_vitb14_l3_50x_median,dinov2_vitb14,3,50x_median,4.4043e-05,DINOv2 L3  γ=4.40e-05 (50x_median),0.669789,0.0000e+00,0.502938,0.0000e+00,0.499304,0.306667,0.544198,2025,1.003257e+00,1.007129e+00,1.008862e+00,1.010301e+00,1.011289e+00
CMMD,clip_vit_large,0,fixed,5.0000e-03,CMMD CLIP-L/14  γ=5.000e-03,0.422225,0.0000e+00,0.290054,0.0000e+00,0.302336,0.344198,0.682963,2025,7.675659e-01,7.799805e-01,7.891017e-01,8.032389e-01,8.234426e-01
