method,VKITTI_fog,COCO,Tracking,gamma
Gram_std γ/10,2.766842e-01,7.730711e-02,9.189844e-04,2.0936e-07
Gram_std γ_med,9.266603e-01,3.245969e-01,6.669044e-03,2.0936e-06
Gram_std 10×γ,7.717213e-02,1.919926e-02,7.442210e-03,2.0936e-05
Gram_std 100×γ,1.972693e-03,1.674292e-04,8.995137e-04,2.0936e-04
Gram_raw γ/10,2.233418e-01,7.271409e-02,9.852648e-04,6.4475e-12
Gram_raw γ_med,9.578245e-01,3.190335e-01,7.170916e-03,6.4475e-11
Gram_raw 10×γ,2.138224e-01,3.595888e-02,1.063636e-02,6.4475e-10
Gram_raw 100×γ,9.549585e-03,6.682234e-04,2.171357e-03,6.4475e-09
CMMD γ=0.005,6.853253e-01,3.538588e-01,1.904619e-02,5.0000e-03
CMMD γ_med,6.408035e-01,3.494116e-01,1.674628e-02,3.9529e-03
Cosine CLIP,3.886883e-01,5.276359e-01,2.091552e-01,
FID CLIP,2.090023e+02,2.247476e+02,2.465469e+01,
