method,anchor_size,vkitti_mmd2,coco_mmd2,ratio,gamma,inversion
Gram-MMD (with_std),20,2.987648e-01,3.673080e-01,8.133903e-01,1.700682e-06,True
Gram-MMD (with_std),50,2.917551e-01,2.922220e-01,9.984023e-01,1.787962e-06,True
Gram-MMD (with_std),100,2.961237e-01,3.110259e-01,9.520870e-01,1.824882e-06,True
Gram-MMD (with_std),200,2.984540e-01,3.160194e-01,9.444168e-01,1.831346e-06,True
Gram-MMD (with_std),500,2.960190e-01,3.211041e-01,9.218784e-01,1.878840e-06,True
Gram-MMD (with_std),1000,2.921573e-01,3.277529e-01,8.913949e-01,1.869933e-06,True
Gram-MMD (no_std),20,2.301459e-01,3.249949e-01,7.081525e-01,5.458577e-11,True
Gram-MMD (no_std),50,2.533490e-01,2.646157e-01,9.574224e-01,5.428233e-11,True
Gram-MMD (no_std),100,2.652495e-01,2.864941e-01,9.258461e-01,4.969822e-11,True
Gram-MMD (no_std),200,2.605143e-01,2.931666e-01,8.886220e-01,5.381591e-11,True
Gram-MMD (no_std),500,2.661610e-01,2.874756e-01,9.258559e-01,5.574954e-11,True
Gram-MMD (no_std),1000,2.612234e-01,2.990571e-01,8.734899e-01,5.486441e-11,True
CMMD,20,5.188279e-01,4.073331e-01,1.273719e+00,5.000000e-03,False
CMMD,50,5.726912e-01,4.359855e-01,1.313556e+00,5.000000e-03,False
CMMD,100,5.714222e-01,4.426166e-01,1.291009e+00,5.000000e-03,False
CMMD,200,5.764439e-01,4.444520e-01,1.296977e+00,5.000000e-03,False
CMMD,500,5.827503e-01,4.419055e-01,1.318721e+00,5.000000e-03,False
CMMD,1000,5.782284e-01,4.459934e-01,1.296495e+00,5.000000e-03,False
