method,VKITTI_clone,Tracking,ratio,gamma,inversion
Gram_std γ/10,5.103362e-02,6.552339e-03,7.7886,1.8699e-07,False
Gram_std γ_med,2.921573e-01,4.262495e-02,6.8541,1.8699e-06,False
Gram_std 10×γ,8.130670e-02,2.287151e-02,3.5549,1.8699e-05,False
Gram_std 100×γ,2.853355e-03,1.351639e-03,2.1110,1.8699e-04,False
Gram_raw γ/10,4.556298e-02,6.623387e-03,6.8791,5.4864e-12,False
Gram_raw γ_med,2.612234e-01,4.670167e-02,5.5934,5.4864e-11,False
Gram_raw 10×γ,1.482786e-01,4.388559e-02,3.3788,5.4864e-10,False
Gram_raw 100×γ,1.012625e-02,4.030950e-03,2.5121,5.4864e-09,False
CMMD γ=0.005,5.782284e-01,7.021332e-02,8.2353,5.0000e-03,False
CMMD γ_med,5.879074e-01,7.221973e-02,8.1405,5.3397e-03,False
Cosine CLIP,3.559734e-01,2.004452e-01,1.7759,,False
FID CLIP,1.716723e+02,4.389114e+01,3.9113,,False
