label,gamma_tag,gamma_val,group_idx,mos_mean,mos_min,mos_max,mmd_score
SD_VAE_L11_median,median,2.1510e-06,1,16.95693878915909,10.383351573636363,22.207954510454545,0.052436232566833496
SD_VAE_L11_median,median,2.1510e-06,2,25.384277235181816,22.336504287727273,28.008295531363636,0.04139530658721924
SD_VAE_L11_median,median,2.1510e-06,3,32.564517177545454,28.427649107272728,37.183868766818186,0.07781457901000977
SD_VAE_L11_median,median,2.1510e-06,4,41.308731939454546,37.586910895,44.68483293727273,0.05803334712982178
SD_VAE_L11_median,median,2.1510e-06,5,46.53733109702273,45.014271393181815,47.997159330454544,0.04180097579956055
SD_VAE_L11_median,median,2.1510e-06,6,50.52104208968181,48.745656067727275,51.78909724363636,0.05389142036437988
SD_VAE_L11_median,median,2.1510e-06,7,53.22065402256818,51.85205774272727,54.72388539863636,0.03346884250640869
SD_VAE_L11_median,median,2.1510e-06,8,56.40858111559091,55.23867115454546,57.06027285454545,0.04973125457763672
SD_VAE_L11_median,median,2.1510e-06,9,58.50204308436364,57.08577673045454,59.61907620909091,0.03918743133544922
SD_VAE_L11_median,median,2.1510e-06,10,61.05352392104545,59.64024705,62.140166177272725,0.04103720188140869
SD_VAE_L11_median,median,2.1510e-06,11,63.095493819545446,62.30800517363637,63.89873966363636,0.08400893211364746
SD_VAE_L11_median,median,2.1510e-06,12,64.4859051594091,63.92419218818182,65.15700578272727,0.06964147090911865
SD_VAE_L11_median,median,2.1510e-06,13,66.35020378895454,65.26560826818182,67.33497136227273,0.02968621253967285
SD_VAE_L11_median,median,2.1510e-06,14,68.21910480834092,67.50431248636363,69.04567613727274,0.03506970405578613
SD_VAE_L11_median,median,2.1510e-06,15,69.57423877711364,69.05974111818182,70.20511073181818,0.05930435657501221
SD_VAE_L11_median,median,2.1510e-06,16,70.88703553449999,70.32331571818182,71.36296618181818,0.03699350357055664
SD_VAE_L11_median,median,2.1510e-06,17,72.44388955404546,71.46931471818182,73.33471177272727,0.03350961208343506
SD_VAE_L11_median,median,2.1510e-06,18,73.78349232913637,73.33981687045456,74.38583995454546,0.03759407997131348
SD_VAE_L11_median,median,2.1510e-06,19,75.11938361220454,74.46433656818182,75.54217925454545,0.024096965789794922
SD_VAE_L11_median,median,2.1510e-06,20,76.11229095795454,75.65154605454546,76.5471795409091,0.026102304458618164
SD_VAE_L11_median,median,2.1510e-06,21,77.16488309381819,76.59774437272728,77.9733424409091,0.01738739013671875
SD_VAE_L11_median,median,2.1510e-06,22,78.78088833706818,78.0566007590909,79.62850745318183,0.0181429386138916
SD_VAE_L11_median,median,2.1510e-06,23,80.66911940068182,79.6499864090909,81.66778405000001,0.016270875930786133
SD_VAE_L11_median,median,2.1510e-06,24,84.28556101838639,82.0783984909091,87.81027129545454,0.02706015110015869
SD_VAE_L11_mean,mean,1.9017e-06,1,16.95693878915909,10.383351573636363,22.207954510454545,0.04922032356262207
SD_VAE_L11_mean,mean,1.9017e-06,2,25.384277235181816,22.336504287727273,28.008295531363636,0.03872263431549072
SD_VAE_L11_mean,mean,1.9017e-06,3,32.564517177545454,28.427649107272728,37.183868766818186,0.07254421710968018
SD_VAE_L11_mean,mean,1.9017e-06,4,41.308731939454546,37.586910895,44.68483293727273,0.05432713031768799
SD_VAE_L11_mean,mean,1.9017e-06,5,46.53733109702273,45.014271393181815,47.997159330454544,0.0391545295715332
SD_VAE_L11_mean,mean,1.9017e-06,6,50.52104208968181,48.745656067727275,51.78909724363636,0.050577759742736816
SD_VAE_L11_mean,mean,1.9017e-06,7,53.22065402256818,51.85205774272727,54.72388539863636,0.03115260601043701
SD_VAE_L11_mean,mean,1.9017e-06,8,56.40858111559091,55.23867115454546,57.06027285454545,0.04645037651062012
SD_VAE_L11_mean,mean,1.9017e-06,9,58.50204308436364,57.08577673045454,59.61907620909091,0.0367124080657959
SD_VAE_L11_mean,mean,1.9017e-06,10,61.05352392104545,59.64024705,62.140166177272725,0.03892707824707031
SD_VAE_L11_mean,mean,1.9017e-06,11,63.095493819545446,62.30800517363637,63.89873966363636,0.07972145080566406
SD_VAE_L11_mean,mean,1.9017e-06,12,64.4859051594091,63.92419218818182,65.15700578272727,0.06588029861450195
SD_VAE_L11_mean,mean,1.9017e-06,13,66.35020378895454,65.26560826818182,67.33497136227273,0.027745842933654785
SD_VAE_L11_mean,mean,1.9017e-06,14,68.21910480834092,67.50431248636363,69.04567613727274,0.032881975173950195
SD_VAE_L11_mean,mean,1.9017e-06,15,69.57423877711364,69.05974111818182,70.20511073181818,0.05555081367492676
SD_VAE_L11_mean,mean,1.9017e-06,16,70.88703553449999,70.32331571818182,71.36296618181818,0.034856200218200684
SD_VAE_L11_mean,mean,1.9017e-06,17,72.44388955404546,71.46931471818182,73.33471177272727,0.031491637229919434
SD_VAE_L11_mean,mean,1.9017e-06,18,73.78349232913637,73.33981687045456,74.38583995454546,0.03575694561004639
SD_VAE_L11_mean,mean,1.9017e-06,19,75.11938361220454,74.46433656818182,75.54217925454545,0.0225982666015625
SD_VAE_L11_mean,mean,1.9017e-06,20,76.11229095795454,75.65154605454546,76.5471795409091,0.024742841720581055
SD_VAE_L11_mean,mean,1.9017e-06,21,77.16488309381819,76.59774437272728,77.9733424409091,0.01638662815093994
SD_VAE_L11_mean,mean,1.9017e-06,22,78.78088833706818,78.0566007590909,79.62850745318183,0.016705632209777832
SD_VAE_L11_mean,mean,1.9017e-06,23,80.66911940068182,79.6499864090909,81.66778405000001,0.015148758888244629
SD_VAE_L11_mean,mean,1.9017e-06,24,84.28556101838639,82.0783984909091,87.81027129545454,0.02571260929107666
SD_VAE_L11_10x_median,10x_median,2.1510e-05,1,16.95693878915909,10.383351573636363,22.207954510454545,0.014240948483347893
SD_VAE_L11_10x_median,10x_median,2.1510e-05,2,25.384277235181816,22.336504287727273,28.008295531363636,0.011653576046228409
SD_VAE_L11_10x_median,10x_median,2.1510e-05,3,32.564517177545454,28.427649107272728,37.183868766818186,0.02686503902077675
SD_VAE_L11_10x_median,10x_median,2.1510e-05,4,41.308731939454546,37.586910895,44.68483293727273,0.01837814226746559
SD_VAE_L11_10x_median,10x_median,2.1510e-05,5,46.53733109702273,45.014271393181815,47.997159330454544,0.01371791958808899
SD_VAE_L11_10x_median,10x_median,2.1510e-05,6,50.52104208968181,48.745656067727275,51.78909724363636,0.011513017117977142
SD_VAE_L11_10x_median,10x_median,2.1510e-05,7,53.22065402256818,51.85205774272727,54.72388539863636,0.010217761620879173
SD_VAE_L11_10x_median,10x_median,2.1510e-05,8,56.40858111559091,55.23867115454546,57.06027285454545,0.013234186917543411
SD_VAE_L11_10x_median,10x_median,2.1510e-05,9,58.50204308436364,57.08577673045454,59.61907620909091,0.009892864152789116
SD_VAE_L11_10x_median,10x_median,2.1510e-05,10,61.05352392104545,59.64024705,62.140166177272725,0.009009331464767456
SD_VAE_L11_10x_median,10x_median,2.1510e-05,11,63.095493819545446,62.30800517363637,63.89873966363636,0.015207147225737572
SD_VAE_L11_10x_median,10x_median,2.1510e-05,12,64.4859051594091,63.92419218818182,65.15700578272727,0.013312086462974548
SD_VAE_L11_10x_median,10x_median,2.1510e-05,13,66.35020378895454,65.26560826818182,67.33497136227273,0.009235182777047157
SD_VAE_L11_10x_median,10x_median,2.1510e-05,14,68.21910480834092,67.50431248636363,69.04567613727274,0.008320508524775505
SD_VAE_L11_10x_median,10x_median,2.1510e-05,15,69.57423877711364,69.05974111818182,70.20511073181818,0.01428033784031868
SD_VAE_L11_10x_median,10x_median,2.1510e-05,16,70.88703553449999,70.32331571818182,71.36296618181818,0.00835156999528408
SD_VAE_L11_10x_median,10x_median,2.1510e-05,17,72.44388955404546,71.46931471818182,73.33471177272727,0.009127330034971237
SD_VAE_L11_10x_median,10x_median,2.1510e-05,18,73.78349232913637,73.33981687045456,74.38583995454546,0.008571330457925797
SD_VAE_L11_10x_median,10x_median,2.1510e-05,19,75.11938361220454,74.46433656818182,75.54217925454545,0.0061509497463703156
SD_VAE_L11_10x_median,10x_median,2.1510e-05,20,76.11229095795454,75.65154605454546,76.5471795409091,0.00676216185092926
SD_VAE_L11_10x_median,10x_median,2.1510e-05,21,77.16488309381819,76.59774437272728,77.9733424409091,0.005385149270296097
