backbone,k,rho,neg_rho,p_value
SD-VAE l9,1,0.12041154692511685,-0.12041154692511685,0.008270532761862024
SD-VAE l9,5,0.10677118824300451,-0.10677118824300451,0.019292390192524937
SD-VAE l9,10,0.10341418582545932,-0.10341418582545932,0.023459827726336566
SD-VAE l9,25,0.08025859487237356,-0.08025859487237356,0.07898128160518168
SD-VAE l9,50,0.09333330439802255,-0.09333330439802255,0.04095728058537171
SD-VAE l9,100,0.09542315721856431,-0.09542315721856431,0.03662347469898825
SD-VAE l9,250,0.09684275973420023,-0.09684275973420023,0.03390711764659836
SD-VAE l9,500,0.11643344806184056,-0.11643344806184056,0.010680977566628811
SD-VAE l9,1000,0.11894094592424445,-0.11894094592424445,0.009098352348726626
DC-AE l10,1,0.10840172917417176,-0.10840172917417176,0.017512120589424557
DC-AE l10,5,0.10358269784157048,-0.10358269784157048,0.023233426520189213
DC-AE l10,10,0.10464097066393516,-0.10464097066393516,0.021854379119461812
DC-AE l10,25,0.030681339762759385,-0.030681339762759385,0.5024755388646337
DC-AE l10,50,0.021729803514772196,-0.021729803514772196,0.6348647031779876
DC-AE l10,100,0.023266485531621226,-0.023266485531621226,0.6111146962510146
DC-AE l10,250,0.03686365826240565,-0.03686365826240565,0.42035215542850235
DC-AE l10,500,0.06706843345674242,-0.06706843345674242,0.14231702874706614
DC-AE l10,1000,0.06781887074162649,-0.06781887074162649,0.13789606609906987
DINOv2-B l5,1,0.18482122318239227,-0.18482122318239227,4.624801126084765e-05
DINOv2-B l5,5,0.01819734460653041,-0.01819734460653041,0.6908680793201414
DINOv2-B l5,10,0.03233987560709899,-0.03233987560709899,0.47964805292787027
DINOv2-B l5,25,-0.000688588058107891,0.000688588058107891,0.9879947828800061
DINOv2-B l5,50,-0.02834202839422046,0.02834202839422046,0.5356211375027315
DINOv2-B l5,100,-0.01433014032178959,0.01433014032178959,0.7541627945498055
DINOv2-B l5,250,0.05802640202431433,-0.05802640202431433,0.20442336890819104
DINOv2-B l5,500,0.14812889812889812,-0.14812889812889812,0.0011345091187820579
DINOv2-B l5,1000,0.15397918393743026,-0.15397918393743026,0.0007119718058223828
CMMD,1000,-0.24248445088737358,0.24248445088737358,7.481598083249485e-08
