layer,layer_name,gamma,spearman_rho,pval
0,relu1_1,1e-09,-0.23474332251035798,0.021327012395486147
0,relu1_1,1.0186101701559773e-09,-0.21011183872842448,0.039908375055534275
0,relu1_1,1.0375666787451849e-09,-0.23546076597995985,0.020922220132628566
0,relu1_1,1.0568759711848051e-09,-0.22092317825346383,0.03053784505823519
0,relu1_1,1.0765446128423137e-09,-0.21392186711599953,0.03636402916438857
0,relu1_1,1.0965792912678099e-09,-0.2170140788357753,0.03368505994842846
0,relu1_1,1.116986818467825e-09,-0.21738377501768025,0.03337617871236268
0,relu1_1,1.1377741332214901e-09,-0.22377343784875475,0.028402981043414374
0,relu1_1,1.1589483034398119e-09,-0.1978508351391625,0.05332401871823584
0,relu1_1,1.180516528568803e-09,-0.23633605410236963,0.02043730676517028
0,relu1_1,1.2024861420374123e-09,-0.24175361938332368,0.017645379706840675
0,relu1_1,1.2248646137509333e-09,-0.20241576093818955,0.047950620850664004
0,relu1_1,1.2476595526308685e-09,-0.22908375994259939,0.024761953098805425
0,relu1_1,1.2708787092020595e-09,-0.19329486682439262,0.059170700631094815
0,relu1_1,1.2945299782279134e-09,-0.23217756729895622,0.022830027711682514
0,relu1_1,1.3186214013947485e-09,-0.21179233311762505,0.03831103572788579
0,relu1_1,1.3431611700460181e-09,-0.21120907732767524,0.03885926098484804
0,relu1_1,1.3681576279674706e-09,-0.22535292250765818,0.027275390990706593
0,relu1_1,1.3936192742241434e-09,-0.20146641052575975,0.04902960258407987
0,relu1_1,1.4195547660500987e-09,-0.20274293625136325,0.047583350251327795
0,relu1_1,1.4459729217920195e-09,-0.2316854192048444,0.023128446565265703
0,relu1_1,1.4728827239075047e-09,-0.21523992819248755,0.03520103288433594
0,relu1_1,1.5002933220192166e-09,-0.228144581914488,0.02537530985649329
0,relu1_1,1.5282140360258708e-09,-0.1789491301902931,0.08107557346113173
0,relu1_1,1.5566543592710589e-09,-0.21451081944405762,0.035840442998412506
0,relu1_1,1.5856239617711372e-09,-0.23104725154405092,0.023520363363146706
0,relu1_1,1.615132693503093e-09,-0.2047784214722222,0.04535033663125229
0,relu1_1,1.6451905877536607e-09,-0.23692381302116436,0.020117125905902835
0,relu1_1,1.6758078645307687e-09,-0.21393788603043049,0.036349703756105405
0,relu1_1,1.7069949340384045e-09,-0.19722464389487493,0.05409829105624919
0,relu1_1,1.7387624002162505e-09,-0.21783843719989437,0.03299958086538939
0,relu1_1,1.7711210643450904e-09,-0.1949263349248293,0.05701960838462211
0,relu1_1,1.8040819287193808e-09,-0.2185603279743188,0.03240899191045929
0,relu1_1,1.8376562003881724e-09,-0.21260326179971742,0.037559574307967664
0,relu1_1,1.8718552949655752e-09,-0.20386186316055915,0.04634484350410073
0,relu1_1,1.906690840512252e-09,-0.20058239237132375,0.05005228289745013
0,relu1_1,1.9421746814890284e-09,-0.210899258884891,0.03915312844121694
0,relu1_1,1.9783188827841624e-09,-0.21056568788135918,0.03947159912265407
0,relu1_1,2.0151357338155587e-09,-0.23167194384754386,0.023136664135747692
0,relu1_1,2.052637752709248e-09,-0.22140339853346735,0.030168937100494963
0,relu1_1,2.09083769055575e-09,-0.21367739705282401,0.03658324212943422
0,relu1_1,2.129748535745523e-09,-0.207052467918064,0.04295910833104957
0,relu1_1,2.1693835183851823e-09,-0.19407912424972504,0.058128526923111594
0,relu1_1,2.2097561147959033e-09,-0.22251414604889647,0.02933006880902691
0,relu1_1,2.250880052095457e-09,-0.20671007101258881,0.043312296449847985
0,relu1_1,2.2927693128656487e-09,-0.21749108753504368,0.0332869668489433
0,relu1_1,2.3354381399064818e-09,-0.2110763828403702,0.03898489720437986
0,relu1_1,2.378901041078891e-09,-0.22227653685251278,0.029507838376439367
0,relu1_1,2.4231727942376006e-09,-0.2212730113226885,0.0302687267041076
0,relu1_1,2.4682684522556873e-09,-0.21770100830426561,0.03311303430406855
0,relu1_1,2.5142033481427964e-09,-0.21834332700592968,0.03258557952876123
0,relu1_1,2.560993100258462e-09,-0.21159341586003316,0.03849727443134693
0,relu1_1,2.6086536176225453e-09,-0.21520122654589127,0.03523473084593368
0,relu1_1,2.657201105324507e-09,-0.2153192873055687,0.03513201864974267
0,relu1_1,2.7066520700332356e-09,-0.20811422090686,0.04187909007723587
0,relu1_1,2.7570233256095828e-09,-0.2138165698151418,0.03645831240284956
0,relu1_1,2.8083319988231753e-09,-0.21398523144104334,0.036307391322099924
0,relu1_1,2.860595535175739e-09,-0.22062004623718132,0.03077266986980447
0,relu1_1,2.9138317048327884e-09,-0.2288058117769352,0.02494214464348998
0,relu1_1,2.9680586086655964e-09,-0.22141177375990068,0.030162536783952223
0,relu1_1,3.0232946844057765e-09,-0.20965921892463357,0.04034797878767001
0,relu1_1,3.0795587129142296e-09,-0.20504853991604738,0.04506064547307518
0,relu1_1,3.1368698245668734e-09,-0.21157712129824205,0.03851256390484874
0,relu1_1,3.1952475057592137e-09,-0.20627674173382832,0.043762740287348195
0,relu1_1,3.2547116055318414e-09,-0.21854880763442897,0.032418346433631944
0,relu1_1,3.3152823423194234e-09,-0.20361074033899645,0.04662045422325461
0,relu1_1,3.376980310825095e-09,-0.20132093565492518,0.04919669974009108
0,relu1_1,3.439826489022921e-09,-0.21901991031623907,0.03203766227095318
0,relu1_1,3.5038422452906756e-09,-0.21772137090663018,0.03309620340371406
0,relu1_1,3.5690493456752222e-09,-0.20897295872425262,0.04102220564498275
0,relu1_1,3.635469961293318e-09,-0.20759459826508594,0.042404792516324036
0,relu1_1,3.703126675869931e-09,-0.21396346800225627,0.036326836101978816
0,relu1_1,3.772042493416993e-09,-0.2180247961364828,0.03284625671958975
0,relu1_1,3.842240846055061e-09,-0.21252519495968927,0.03763137533264985
0,relu1_1,3.913745601980376e-09,-0.20544452142967584,0.04463874741983033
0,relu1_1,3.9865810735804386e-09,-0.21169463634721805,0.03840241112996863
0,relu1_1,4.060772025700369e-09,-0.20701375146995196,0.04299892449388605
0,relu1_1,4.13634368406327e-09,-0.20790172099133675,0.04209341667199274
