metric_label,backbone,layer_name,gamma_str,gamma_eff,n_groups,group_size,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict_mos_rating,rho_mos_zscore,neg_rho_mos_zscore,p_mos_zscore,verdict_mos_zscore
MMD_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1.000000e-06,240,2,-0.11758624281671555,0.11758624281671555,0.06899673471605848,neutre,-0.11758624281671555,0.11758624281671555,0.06899673471605848,neutre
MMD_dc_ae_l10_g1.00e-05,dc_ae,down_blocks.3.0,1.00e-05,1.000000e-05,240,2,-0.09449816837097864,0.09449816837097864,0.1444043415536477,neutre,-0.09449816837097864,0.09449816837097864,0.1444043415536477,neutre
MMD_dc_ae_l10_g2.80e-05,dc_ae,down_blocks.3.0,2.80e-05,2.800000e-05,240,2,-0.06412264101807322,0.06412264101807322,0.32255757814652497,neutre,-0.06412264101807322,0.06412264101807322,0.32255757814652497,neutre
MMD_dc_ae_l10_g1.00e-04,dc_ae,down_blocks.3.0,1.00e-04,1.000000e-04,240,2,0.04939501909110997,-0.04939501909110997,0.44624246948482615,neutre,0.04939501909110997,-0.04939501909110997,0.44624246948482615,neutre
MMD_dc_ae_l10_g1.00e-03,dc_ae,down_blocks.3.0,1.00e-03,1.000000e-03,240,2,nan,nan,nan,inverse,nan,nan,nan,inverse
MMD_dc_ae_l10_gmedian,dc_ae,down_blocks.3.0,median,2.289412e-06,240,2,-0.11275022135800966,0.11275022135800966,0.08130528569370347,neutre,-0.11275022135800966,0.11275022135800966,0.08130528569370347,neutre
MMD_dinov2_vitb14_l5_g1.00e-06,dinov2_vitb14,blocks.4,1.00e-06,1.000000e-06,240,2,-0.130508342158718,0.130508342158718,0.04339188989021394,neutre,-0.130508342158718,0.130508342158718,0.04339188989021394,neutre
MMD_dinov2_vitb14_l5_g1.00e-05,dinov2_vitb14,blocks.4,1.00e-05,1.000000e-05,240,2,-0.08999895831524851,0.08999895831524851,0.16458944130411635,neutre,-0.08999895831524851,0.08999895831524851,0.16458944130411635,neutre
MMD_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,2.800000e-05,240,2,-0.029553464469869267,0.029553464469869267,0.6487139570154652,neutre,-0.029553464469869267,0.029553464469869267,0.6487139570154652,neutre
MMD_dinov2_vitb14_l5_g1.00e-04,dinov2_vitb14,blocks.4,1.00e-04,1.000000e-04,240,2,0.2146639819566294,-0.2146639819566294,0.0008160154204676261,inverse,0.2146639819566294,-0.2146639819566294,0.0008160154204676261,inverse
MMD_dinov2_vitb14_l5_g1.00e-03,dinov2_vitb14,blocks.4,1.00e-03,1.000000e-03,240,2,nan,nan,nan,inverse,nan,nan,nan,inverse
MMD_dinov2_vitb14_l5_gmedian,dinov2_vitb14,blocks.4,median,9.271337e-07,240,2,-0.1310517543707356,0.1310517543707356,0.04251926246866085,neutre,-0.1310517543707356,0.1310517543707356,0.04251926246866085,neutre
CMMD_CLIP_ViT-L14,CLIP_ViT-L/14,768d,5.00e-03,5.000000e-03,240,2,0.08402923661869129,-0.08402923661869129,0.19453676661557204,neutre,0.08402923661869129,-0.08402923661869129,0.19453676661557204,neutre
