metric_label,backbone,layer_name,gamma_str,gamma_eff,n_groups,group_size,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict_mos_rating,rho_mos_zscore,neg_rho_mos_zscore,p_mos_zscore,verdict_mos_zscore
MMDpt_dc_ae_l10_g1.00e-06,dc_ae,down_blocks.3.0,1.00e-06,1.000000e-06,480,1,0.05612036076545471,-0.05612036076545471,0.21971092968836764,neutre,0.05612036076545471,-0.05612036076545471,0.21971092968836764,neutre
MMDpt_dc_ae_l10_g1.00e-05,dc_ae,down_blocks.3.0,1.00e-05,1.000000e-05,480,1,0.060201324658527164,-0.060201324658527164,0.18793902500763182,neutre,0.060201324658527164,-0.060201324658527164,0.18793902500763182,neutre
MMDpt_dc_ae_l10_g2.80e-05,dc_ae,down_blocks.3.0,2.80e-05,2.800000e-05,480,1,0.0677148943992764,-0.0677148943992764,0.13850223452731453,neutre,0.0677148943992764,-0.0677148943992764,0.13850223452731453,neutre
MMDpt_dc_ae_l10_g1.00e-04,dc_ae,down_blocks.3.0,1.00e-04,1.000000e-04,480,1,0.06018599163153229,-0.06018599163153229,0.18805170978048602,neutre,0.06018599163153229,-0.06018599163153229,0.18805170978048602,neutre
MMDpt_dc_ae_l10_g1.00e-03,dc_ae,down_blocks.3.0,1.00e-03,1.000000e-03,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_dc_ae_l10_gmedian,dc_ae,down_blocks.3.0,median,2.289412e-06,480,1,0.05696715263521108,-0.05696715263521108,0.21282110038034235,neutre,0.05696715263521108,-0.05696715263521108,0.21282110038034235,neutre
MMDpt_dinov2_vitb14_l5_g1.00e-06,dinov2_vitb14,blocks.4,1.00e-06,1.000000e-06,480,1,0.13774479646571813,-0.13774479646571813,0.0024912881285046027,neutre,0.13774479646571813,-0.13774479646571813,0.0024912881285046027,neutre
MMDpt_dinov2_vitb14_l5_g1.00e-05,dinov2_vitb14,blocks.4,1.00e-05,1.000000e-05,480,1,0.14427602856425437,-0.14427602856425437,0.001528146174979196,neutre,0.14427602856425437,-0.14427602856425437,0.001528146174979196,neutre
MMDpt_dinov2_vitb14_l5_g2.80e-05,dinov2_vitb14,blocks.4,2.80e-05,2.800000e-05,480,1,0.15218474682159852,-0.15218474682159852,0.000822792567285452,neutre,0.15218474682159852,-0.15218474682159852,0.000822792567285452,neutre
MMDpt_dinov2_vitb14_l5_g1.00e-04,dinov2_vitb14,blocks.4,1.00e-04,1.000000e-04,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_dinov2_vitb14_l5_g1.00e-03,dinov2_vitb14,blocks.4,1.00e-03,1.000000e-03,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_dinov2_vitb14_l5_gmedian,dinov2_vitb14,blocks.4,median,9.271337e-07,480,1,0.1377339962413031,-0.1377339962413031,0.0024932606360564134,neutre,0.1377339962413031,-0.1377339962413031,0.0024932606360564134,neutre
CMMDpt_CLIP_ViT-L14,CLIP_ViT-L/14,768d,5.00e-03,5.000000e-03,480,1,-0.24248445088737358,0.24248445088737358,7.481598083249485e-08,partiel,-0.24248445088737358,0.24248445088737358,7.481598083249485e-08,partiel
