metric_label,backbone,layer_name,gamma_str,gamma_eff,n_groups,group_size,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict_mos_rating,rho_mos_zscore,neg_rho_mos_zscore,p_mos_zscore,verdict_mos_zscore
MMDpt_nostd_sd_vae_l9_median,sd_vae,sd_vae_l9,median,5.556331e-11,480,1,0.05794979578904421,-0.05794979578904421,0.20502252220993014,neutre,0.05794979578904421,-0.05794979578904421,0.20502252220993014,neutre
MMDpt_nostd_sd_vae_l9_1.00e-07,sd_vae,sd_vae_l9,1.00e-07,1.000000e-07,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_nostd_sd_vae_l9_1.00e-06,sd_vae,sd_vae_l9,1.00e-06,1.000000e-06,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_nostd_sd_vae_l9_1.00e-05,sd_vae,sd_vae_l9,1.00e-05,1.000000e-05,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_nostd_sd_vae_l9_1.00e-04,sd_vae,sd_vae_l9,1.00e-04,1.000000e-04,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_nostd_dc_ae_l10_median,dc_ae,dc_ae_l10,median,5.566730e-06,480,1,0.08216517866831018,-0.08216517866831018,0.07209822787119909,neutre,0.08216517866831018,-0.08216517866831018,0.07209822787119909,neutre
MMDpt_nostd_dc_ae_l10_1.00e-07,dc_ae,dc_ae_l10,1.00e-07,1.000000e-07,480,1,0.09315806997632761,-0.09315806997632761,0.041339584689448,neutre,0.09315806997632761,-0.09315806997632761,0.041339584689448,neutre
MMDpt_nostd_dc_ae_l10_1.00e-06,dc_ae,dc_ae_l10,1.00e-06,1.000000e-06,480,1,0.08966792390591972,-0.08966792390591972,0.049604335633843616,neutre,0.08966792390591972,-0.08966792390591972,0.049604335633843616,neutre
MMDpt_nostd_dc_ae_l10_1.00e-05,dc_ae,dc_ae_l10,1.00e-05,1.000000e-05,480,1,0.0802646712876358,-0.0802646712876358,0.07895852701200244,neutre,0.0802646712876358,-0.0802646712876358,0.07895852701200244,neutre
MMDpt_nostd_dc_ae_l10_1.00e-04,dc_ae,dc_ae_l10,1.00e-04,1.000000e-04,480,1,0.08506579889669659,-0.08506579889669659,0.06257270173080579,neutre,0.08506579889669659,-0.08506579889669659,0.06257270173080579,neutre
MMDpt_nostd_dinov2_vitb14_l5_median,dinov2_vitb14,dinov2_l5,median,2.794572e+00,480,1,0.1480820229254467,-0.1480820229254467,0.0011386764984100352,neutre,0.1480820229254467,-0.1480820229254467,0.0011386764984100352,neutre
MMDpt_nostd_dinov2_vitb14_l5_1.00e-07,dinov2_vitb14,dinov2_l5,1.00e-07,1.000000e-07,480,1,nan,nan,nan,inverse,nan,nan,nan,inverse
MMDpt_nostd_dinov2_vitb14_l5_1.00e-06,dinov2_vitb14,dinov2_l5,1.00e-06,1.000000e-06,480,1,0.048787292242014904,-0.048787292242014904,0.28609628175443935,neutre,0.048787292242014904,-0.048787292242014904,0.28609628175443935,neutre
MMDpt_nostd_dinov2_vitb14_l5_1.00e-05,dinov2_vitb14,dinov2_l5,1.00e-05,1.000000e-05,480,1,0.1597975356471489,-0.1597975356471489,0.0004406331489225041,neutre,0.1597975356471489,-0.1597975356471489,0.0004406331489225041,neutre
MMDpt_nostd_dinov2_vitb14_l5_1.00e-04,dinov2_vitb14,dinov2_l5,1.00e-04,1.000000e-04,480,1,0.14366464671765947,-0.14366464671765947,0.0016010617855710208,neutre,0.14366464671765947,-0.14366464671765947,0.0016010617855710208,neutre
CMMDpt_CLIP_ViT-L14_sigma10,CLIP_ViT-L14,768d,5.00e-03,5.000000e-03,480,1,-0.24248445088737358,0.24248445088737358,7.481598083249485e-08,partiel,-0.24248445088737358,0.24248445088737358,7.481598083249485e-08,partiel
