backbone,layer,spearman,kendall,spearman_level,mono_strict_rate,mono_partial_rate,mono_strict_n,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
SD-VAE,0,0.08155993261204568,0.05514241933436153,0.08979685352606437,0.3106172839506173,0.46024691358024694,629,2025,0.4409456544452243,0.46812420120945686,0.4863259236017863,0.5256200124010628,0.5749723524517483
SD-VAE,1,0.17823414412210895,0.1196685769305573,0.14847941523946886,0.3871604938271605,0.537283950617284,784,2025,0.41907785689389265,0.44886883194063915,0.4743446394543589,0.5153903001031758,0.5768457091884849
SD-VAE,2,0.17961961265007823,0.12058849929125826,0.1516751418211721,0.3748148148148148,0.5333333333333333,759,2025,0.42089671149665925,0.4515436618122054,0.4780316052613435,0.5234825087182315,0.5946242307733607
SD-VAE,3,0.1643112293285942,0.11036008614541336,0.13567946070866369,0.36987654320987656,0.5234567901234568,749,2025,0.42042796008380845,0.451024182519795,0.4765681101657726,0.518697744504905,0.5827556747566035
SD-VAE,4,0.1704533912014924,0.11440224424000056,0.15033217778868796,0.38469135802469134,0.5506172839506173,779,2025,0.4159160248438517,0.4395878538673307,0.46302329266512837,0.505701106948617,0.5760018141475725
SD-VAE,5,0.1679395494955689,0.11303412186978372,0.15002622939328447,0.37777777777777777,0.5595061728395062,765,2025,0.4152412273560041,0.44157901007452127,0.4653938125975338,0.5084013614831148,0.5769074860914254
SD-VAE,6,0.14944446190073873,0.10052121387399172,0.13432605507980339,0.36691358024691356,0.5367901234567901,743,2025,0.4153323611801053,0.4424617360845024,0.46504407785556934,0.5037633013725281,0.5656175811202437
SD-VAE,7,0.16401927022882368,0.10994224616421108,0.1483461952518663,0.38765432098765434,0.5624691358024692,785,2025,0.41288774254881305,0.43591254190162376,0.45771263625886704,0.49737599316938425,0.5650612599761398
SD-VAE,8,0.157591632584619,0.10600998927725215,0.14423563409649234,0.3995061728395062,0.5767901234567901,809,2025,0.41470606550758266,0.44176453272501626,0.4642757054611489,0.504999617676676,0.5718598928569276
SD-VAE,9,0.1651777792494551,0.11071004043063204,0.14432347972354828,0.3674074074074074,0.542716049382716,744,2025,0.4130273654725817,0.43857864883210923,0.46187027527962204,0.5020328830200949,0.5709040873138993
SD-VAE,10,0.18004461786230178,0.12062357071095998,0.16349412367500607,0.3708641975308642,0.5550617283950617,751,2025,0.40786038651878453,0.43124485115946076,0.4539126068574411,0.49401947969271814,0.5615677290492588
SD-VAE,11,0.1946442136269959,0.13042236089135345,0.17765696967975653,0.3960493827160494,0.5767901234567901,802,2025,0.40747428481961473,0.428603732585907,0.4504876883824666,0.4899763987093796,0.5557172416168966
SD-VAE,12,0.20721021542429027,0.13899263535637216,0.18923689388846598,0.3985185185185185,0.5881481481481482,807,2025,0.4091729262434406,0.42891975938537974,0.4506404533209624,0.49003658126901695,0.5562267080648445
SD-VAE,13,0.21188149894303757,0.14226686647184206,0.1934463276611983,0.4014814814814815,0.5930864197530864,813,2025,0.40954053908218574,0.42897210786372053,0.45090219527115055,0.4909132816173412,0.5579652319425418
SD-VAE,14,0.22525531371591026,0.15173003468917445,0.20511605678040695,0.4079012345679012,0.6083950617283951,826,2025,0.40758362667060194,0.4264283182297224,0.44834108714704163,0.4881711408238352,0.5556212358415863
SD-VAE,15,0.2794401115687446,0.190145090199119,0.2362735247214202,0.4893827160493827,0.6977777777777778,991,2025,0.4063810141586963,0.4239515616864334,0.44662093801262936,0.4878351190649433,0.5575390742443226
SD-VAE,16,0.14279859566505104,0.09606512960851255,0.12074504745552919,0.36148148148148146,0.522962962962963,732,2025,0.4348201929198371,0.461722639195713,0.48490916537649836,0.5218472832220572,0.5801901957429485
DC-AE,0,0.11236609982463652,0.07570944802802952,0.10450060779787403,0.30271604938271607,0.46074074074074073,613,2025,0.44247490264751294,0.4711682121253308,0.49193355898798247,0.5371100900496966,0.5917743937174479
DC-AE,4,0.12203569016237997,0.08161774110654403,0.0943994003563984,0.3491358024691358,0.4883950617283951,707,2025,0.41206710944941016,0.42484993896366635,0.4370170584137057,0.45759855058458115,0.49372120512856377
DC-AE,5,0.15246717931649667,0.10312428567040922,0.1448909579166709,0.42419753086419754,0.5891358024691358,859,2025,0.4233907726664602,0.4496134945492686,0.46832342710024044,0.5036180508283922,0.5595705892421581
DC-AE,6,0.15347095088524298,0.1038750328215971,0.1488640937740755,0.45481481481481484,0.6,921,2025,0.4095723793241713,0.4267565813182313,0.44387591538605864,0.4746925989198096,0.5263586633882404
DC-AE,7,0.20294520484978448,0.13779502424482284,0.19569701786487992,0.5106172839506172,0.6730864197530865,1034,2025,0.4149503512441376,0.43484727412094304,0.4571419629638578,0.49723101607075443,0.5628567854563395
DC-AE,8,0.2160905241294203,0.14693421215912972,0.20502812753459948,0.5204938271604939,0.6765432098765433,1054,2025,0.4156534816306314,0.43653855900705596,0.4606133686171638,0.5036867556454223,0.5745747384907287
DC-AE,9,0.2343771716009094,0.15943527106216776,0.22165914527728953,0.548641975308642,0.6948148148148148,1111,2025,0.41596649852799783,0.4386077743695106,0.46427584886550904,0.5096691831835994,0.5848988973947219
DC-AE,10,0.2562116069625591,0.1744730865674941,0.23786136455735654,0.5560493827160494,0.7022222222222222,1126,2025,0.42279410974479015,0.447060066152502,0.47224261772485426,0.5198815836435483,0.6036651203661789
DC-AE,11,0.2252366340968946,0.15269938610973996,0.20792375968577056,0.4893827160493827,0.654320987654321,991,2025,0.4240611414850494,0.44669022380569834,0.47082951545715335,0.519047665949221,0.6073238736317481
DC-AE,12,0.3433712832234065,0.23851860328614388,0.3128372646187813,0.5609876543209876,0.7338271604938271,1136,2025,0.43664006927866994,0.47300414965476517,0.5127865643265807,0.5776042182651567,0.6809195902906818
DC-AE,14,0.3557515769998635,0.24778716246463653,0.3177018191204917,0.5634567901234568,0.7451851851851852,1141,2025,0.4369917943153852,0.4749051683331713,0.5168507827652825,0.5864551602175206,0.6928287420743777
DC-AE,15,0.35136063705166143,0.24546947397482166,0.3026135774615131,0.5491358024691358,0.7298765432098765,1112,2025,0.4377595160919943,0.4764638222294089,0.5198761355435406,0.5895943770585237,0.6960173096774537
DC-AE,16,0.32211500801467036,0.22340075740137386,0.28885227903059424,0.5402469135802469,0.7234567901234568,1094,2025,0.4487245219136462,0.4823790754506617,0.5200641680058138,0.5872688903926331,0.69723061826494
DC-AE,18,0.32042922095422777,0.2215978408208393,0.2961228574439675,0.5397530864197531,0.7254320987654321,1093,2025,0.4295898802486467,0.45997689488493365,0.49699141885027476,0.5636094299657846,0.667155907360124
DC-AE,19,0.29454701958360985,0.20422625119418128,0.2619405634702344,0.5022222222222222,0.697283950617284,1017,2025,0.4456195272045371,0.4744051096468796,0.5099726017021838,0.5731293475480728,0.6776949055106551
DC-AE,20,0.1573583847229091,0.10579867356272003,0.14202489436639895,0.3693827160493827,0.5955555555555555,748,2025,0.45135470611077766,0.465645985338423,0.48059026306058156,0.5123814316443455,0.5698455376389586
DC-AE,21,0.2269988257537148,0.15415154410157636,0.21344083049363863,0.4276543209876543,0.642962962962963,866,2025,0.41186608264475694,0.4320742799323282,0.44999782918412007,0.4817693540490704,0.5342088495066136
DINOv2-B,0,0.10484245132566722,0.070821768586003,0.07219409807413336,0.32296296296296295,0.5007407407407407,654,2025,0.43711800233817394,0.47879436601827174,0.5016199750370449,0.530186194313897,0.5585420554066882
DINOv2-B,1,0.2828338740796705,0.19380641879962457,0.2517812343384518,0.505679012345679,0.6765432098765433,1024,2025,0.42320611515162904,0.468160376843111,0.5069290256794589,0.5654871636849863,0.6338318374421862
DINOv2-B,2,0.35038620300749335,0.23729324132401156,0.3150795919896688,0.5609876543209876,0.7382716049382716,1136,2025,0.4210742681409106,0.4499415649308099,0.48106043409418175,0.5339808260069953,0.6093532612294327
DINOv2-B,3,0.37007927883755776,0.2523339129596049,0.34563524631455106,0.568395061728395,0.7397530864197531,1151,2025,0.4117163832099349,0.43505774477381765,0.4668561276977445,0.5223107886020049,0.6090996310151654
DINOv2-B,4,0.32393841509607213,0.21959104450728303,0.3050179646586292,0.5170370370370371,0.6997530864197531,1047,2025,0.3999881311404852,0.4137153747935354,0.43269423687899555,0.4668375422925125,0.526213327984751
DINOv2-B,5,0.22045215024434434,0.1493804820344539,0.20785827868215495,0.37530864197530867,0.6079012345679012,760,2025,0.3918445716080842,0.3963313085061532,0.40556480834513536,0.42771584098721727,0.4737708737526411
DINOv2-B,6,0.14684435173863708,0.0992725774164215,0.1213331579687604,0.2938271604938272,0.5461728395061728,595,2025,0.3931789254553524,0.39500982617154534,0.3996120187676983,0.4092988274715565,0.43374487853344573
DINOv2-B,7,0.09941382996352535,0.06639106777222333,0.08448638063397827,0.2019753086419753,0.4676543209876543,409,2025,0.3918444991111755,0.39240193481798524,0.3948033419656165,0.40119165344002805,0.4210882547166612
DINOv2-B,8,0.03545160732882029,0.02368664556261815,0.02635300639356093,0.12493827160493827,0.36,253,2025,0.394480359495422,0.39317293914747825,0.3929729089324857,0.39344932706267743,0.40130018275461077
DINOv2-B,9,0.02509124933100435,0.0168218976800028,0.02306399835053164,0.07358024691358024,0.28987654320987655,149,2025,0.40623957910655456,0.4036601837181751,0.4042743499190719,0.406003307501475,0.41244442339296694
DINOv2-B,10,-0.012947482439385346,-0.008801659879113714,-0.0033568545401679727,0.08098765432098766,0.2928395061728395,164,2025,0.3917865119745702,0.3897182539362966,0.38874067000400875,0.3875521173889254,0.388319755807335
DINOv2-B,11,-0.03974355702024368,-0.02649861185698967,-0.014972380532746242,0.1037037037037037,0.2893827160493827,210,2025,0.39567793136761514,0.3934489931883635,0.3921343761903268,0.38932772283200867,0.386782720707081
