method,anchor_size,query_size,dataset,gamma,mmd2
Gram-MMD,1000,5,Virtual KITTI,2.093600e-06,1.015029e+00
Gram-MMD,1000,10,Virtual KITTI,2.093600e-06,9.192059e-01
Gram-MMD,1000,20,Virtual KITTI,2.093600e-06,3.686204e-01
Gram-MMD,1000,50,Virtual KITTI,2.093600e-06,4.019688e-01
Gram-MMD,1000,100,Virtual KITTI,2.093600e-06,4.094673e-01
Gram-MMD,1000,200,Virtual KITTI,2.093600e-06,4.284054e-01
Gram-MMD,1000,500,Virtual KITTI,2.093600e-06,4.270037e-01
Gram-MMD,1000,1000,Virtual KITTI,2.093600e-06,4.089582e-01
Gram-MMD,1000,5,KITTI Tracking,2.093600e-06,1.744926e-01
Gram-MMD,1000,10,KITTI Tracking,2.093600e-06,1.774148e-01
Gram-MMD,1000,20,KITTI Tracking,2.093600e-06,1.726375e-01
Gram-MMD,1000,50,KITTI Tracking,2.093600e-06,4.785979e-02
Gram-MMD,1000,100,KITTI Tracking,2.093600e-06,2.733231e-02
Gram-MMD,1000,200,KITTI Tracking,2.093600e-06,5.035281e-02
Gram-MMD,1000,500,KITTI Tracking,2.093600e-06,1.524949e-02
Gram-MMD,1000,1000,KITTI Tracking,2.093600e-06,9.215117e-03
Gram-MMD,1000,5,COCO,2.093600e-06,1.983913e-01
Gram-MMD,1000,10,COCO,2.093600e-06,2.741835e-01
Gram-MMD,1000,20,COCO,2.093600e-06,3.410057e-01
Gram-MMD,1000,50,COCO,2.093600e-06,3.238111e-01
Gram-MMD,1000,100,COCO,2.093600e-06,3.156402e-01
Gram-MMD,1000,200,COCO,2.093600e-06,3.121728e-01
Gram-MMD,1000,500,COCO,2.093600e-06,3.200941e-01
Gram-MMD,1000,1000,COCO,2.093600e-06,3.245969e-01
Gram-MMD,200,5,Virtual KITTI,2.071003e-06,1.012267e+00
Gram-MMD,200,10,Virtual KITTI,2.071003e-06,9.148656e-01
Gram-MMD,200,20,Virtual KITTI,2.071003e-06,3.681776e-01
Gram-MMD,200,50,Virtual KITTI,2.071003e-06,4.018027e-01
Gram-MMD,200,100,Virtual KITTI,2.071003e-06,4.083174e-01
Gram-MMD,200,200,Virtual KITTI,2.071003e-06,4.273427e-01
Gram-MMD,200,500,Virtual KITTI,2.071003e-06,4.280342e-01
Gram-MMD,200,1000,Virtual KITTI,2.071003e-06,4.084580e-01
Gram-MMD,200,5,KITTI Tracking,2.071003e-06,2.004790e-01
Gram-MMD,200,10,KITTI Tracking,2.071003e-06,2.041379e-01
Gram-MMD,200,20,KITTI Tracking,2.071003e-06,1.950420e-01
Gram-MMD,200,50,KITTI Tracking,2.071003e-06,5.088675e-02
Gram-MMD,200,100,KITTI Tracking,2.071003e-06,2.706528e-02
Gram-MMD,200,200,KITTI Tracking,2.071003e-06,4.472935e-02
Gram-MMD,200,500,KITTI Tracking,2.071003e-06,1.517975e-02
Gram-MMD,200,1000,KITTI Tracking,2.071003e-06,9.416938e-03
Gram-MMD,200,5,COCO,2.071003e-06,1.980901e-01
Gram-MMD,200,10,COCO,2.071003e-06,2.751709e-01
Gram-MMD,200,20,COCO,2.071003e-06,3.432818e-01
Gram-MMD,200,50,COCO,2.071003e-06,3.268991e-01
Gram-MMD,200,100,COCO,2.071003e-06,3.170391e-01
Gram-MMD,200,200,COCO,2.071003e-06,3.133433e-01
Gram-MMD,200,500,COCO,2.071003e-06,3.207922e-01
Gram-MMD,200,1000,COCO,2.071003e-06,3.255399e-01
Gram-MMD,50,5,Virtual KITTI,1.984455e-06,1.033184e+00
Gram-MMD,50,10,Virtual KITTI,1.984455e-06,9.371483e-01
Gram-MMD,50,20,Virtual KITTI,1.984455e-06,3.686444e-01
Gram-MMD,50,50,Virtual KITTI,1.984455e-06,4.045856e-01
Gram-MMD,50,100,Virtual KITTI,1.984455e-06,4.129688e-01
Gram-MMD,50,200,Virtual KITTI,1.984455e-06,4.321307e-01
Gram-MMD,50,500,Virtual KITTI,1.984455e-06,4.268929e-01
Gram-MMD,50,1000,Virtual KITTI,1.984455e-06,4.068549e-01
Gram-MMD,50,5,KITTI Tracking,1.984455e-06,1.591593e-01
Gram-MMD,50,10,KITTI Tracking,1.984455e-06,1.558756e-01
Gram-MMD,50,20,KITTI Tracking,1.984455e-06,1.500744e-01
Gram-MMD,50,50,KITTI Tracking,1.984455e-06,3.268540e-02
Gram-MMD,50,100,KITTI Tracking,1.984455e-06,2.229095e-02
Gram-MMD,50,200,KITTI Tracking,1.984455e-06,4.392219e-02
Gram-MMD,50,500,KITTI Tracking,1.984455e-06,1.617432e-02
Gram-MMD,50,1000,KITTI Tracking,1.984455e-06,9.153962e-03
Gram-MMD,50,5,COCO,1.984455e-06,2.018580e-01
Gram-MMD,50,10,COCO,1.984455e-06,2.801877e-01
Gram-MMD,50,20,COCO,1.984455e-06,3.463465e-01
Gram-MMD,50,50,COCO,1.984455e-06,3.277754e-01
Gram-MMD,50,100,COCO,1.984455e-06,3.198621e-01
Gram-MMD,50,200,COCO,1.984455e-06,3.147431e-01
Gram-MMD,50,500,COCO,1.984455e-06,3.236589e-01
Gram-MMD,50,1000,COCO,1.984455e-06,3.278418e-01
Gram-MMD,20,5,Virtual KITTI,2.038078e-06,9.750018e-01
Gram-MMD,20,10,Virtual KITTI,2.038078e-06,8.796731e-01
Gram-MMD,20,20,Virtual KITTI,2.038078e-06,3.597581e-01
Gram-MMD,20,50,Virtual KITTI,2.038078e-06,3.921864e-01
Gram-MMD,20,100,Virtual KITTI,2.038078e-06,4.007345e-01
Gram-MMD,20,200,Virtual KITTI,2.038078e-06,4.252256e-01
Gram-MMD,20,500,Virtual KITTI,2.038078e-06,4.284801e-01
Gram-MMD,20,1000,Virtual KITTI,2.038078e-06,4.165184e-01
Gram-MMD,20,5,KITTI Tracking,2.038078e-06,1.949294e-01
Gram-MMD,20,10,KITTI Tracking,2.038078e-06,2.048907e-01
Gram-MMD,20,20,KITTI Tracking,2.038078e-06,2.104934e-01
Gram-MMD,20,50,KITTI Tracking,2.038078e-06,5.270684e-02
Gram-MMD,20,100,KITTI Tracking,2.038078e-06,3.137600e-02
Gram-MMD,20,200,KITTI Tracking,2.038078e-06,4.472673e-02
Gram-MMD,20,500,KITTI Tracking,2.038078e-06,1.154804e-02
Gram-MMD,20,1000,KITTI Tracking,2.038078e-06,5.017042e-03
Gram-MMD,20,5,COCO,2.038078e-06,2.189295e-01
Gram-MMD,20,10,COCO,2.038078e-06,2.906602e-01
Gram-MMD,20,20,COCO,2.038078e-06,3.602737e-01
Gram-MMD,20,50,COCO,2.038078e-06,3.442588e-01
Gram-MMD,20,100,COCO,2.038078e-06,3.351273e-01
Gram-MMD,20,200,COCO,2.038078e-06,3.321580e-01
Gram-MMD,20,500,COCO,2.038078e-06,3.383092e-01
Gram-MMD,20,1000,COCO,2.038078e-06,3.427020e-01
CMMD,1000,5,Virtual KITTI,5.000000e-03,6.704629e-01
CMMD,1000,10,Virtual KITTI,5.000000e-03,6.876523e-01
CMMD,1000,20,Virtual KITTI,5.000000e-03,4.450530e-01
CMMD,1000,50,Virtual KITTI,5.000000e-03,4.601806e-01
CMMD,1000,100,Virtual KITTI,5.000000e-03,4.532593e-01
CMMD,1000,200,Virtual KITTI,5.000000e-03,4.519203e-01
CMMD,1000,500,Virtual KITTI,5.000000e-03,4.404008e-01
CMMD,1000,1000,Virtual KITTI,5.000000e-03,4.374636e-01
CMMD,1000,5,KITTI Tracking,5.000000e-03,2.797102e-01
CMMD,1000,10,KITTI Tracking,5.000000e-03,1.982442e-01
CMMD,1000,20,KITTI Tracking,5.000000e-03,1.713642e-01
CMMD,1000,50,KITTI Tracking,5.000000e-03,2.551854e-02
CMMD,1000,100,KITTI Tracking,5.000000e-03,4.501271e-02
CMMD,1000,200,KITTI Tracking,5.000000e-03,6.063080e-02
CMMD,1000,500,KITTI Tracking,5.000000e-03,1.459217e-02
CMMD,1000,1000,KITTI Tracking,5.000000e-03,1.522577e-02
CMMD,1000,5,COCO,5.000000e-03,3.367306e-01
CMMD,1000,10,COCO,5.000000e-03,3.450685e-01
CMMD,1000,20,COCO,5.000000e-03,3.461711e-01
CMMD,1000,50,COCO,5.000000e-03,3.532736e-01
CMMD,1000,100,COCO,5.000000e-03,3.495952e-01
CMMD,1000,200,COCO,5.000000e-03,3.508764e-01
CMMD,1000,500,COCO,5.000000e-03,3.535301e-01
CMMD,1000,1000,COCO,5.000000e-03,3.538588e-01
CMMD,200,5,Virtual KITTI,5.000000e-03,6.680115e-01
CMMD,200,10,Virtual KITTI,5.000000e-03,6.843343e-01
CMMD,200,20,Virtual KITTI,5.000000e-03,4.407879e-01
CMMD,200,50,Virtual KITTI,5.000000e-03,4.558060e-01
CMMD,200,100,Virtual KITTI,5.000000e-03,4.484720e-01
CMMD,200,200,Virtual KITTI,5.000000e-03,4.476545e-01
CMMD,200,500,Virtual KITTI,5.000000e-03,4.349250e-01
CMMD,200,1000,Virtual KITTI,5.000000e-03,4.311178e-01
CMMD,200,5,KITTI Tracking,5.000000e-03,3.025962e-01
CMMD,200,10,KITTI Tracking,5.000000e-03,2.221793e-01
CMMD,200,20,KITTI Tracking,5.000000e-03,1.965921e-01
CMMD,200,50,KITTI Tracking,5.000000e-03,2.973485e-02
CMMD,200,100,KITTI Tracking,5.000000e-03,4.165351e-02
CMMD,200,200,KITTI Tracking,5.000000e-03,5.299270e-02
CMMD,200,500,KITTI Tracking,5.000000e-03,1.304638e-02
CMMD,200,1000,KITTI Tracking,5.000000e-03,1.385438e-02
CMMD,200,5,COCO,5.000000e-03,3.278264e-01
CMMD,200,10,COCO,5.000000e-03,3.354193e-01
CMMD,200,20,COCO,5.000000e-03,3.374359e-01
CMMD,200,50,COCO,5.000000e-03,3.447852e-01
CMMD,200,100,COCO,5.000000e-03,3.409448e-01
CMMD,200,200,COCO,5.000000e-03,3.422072e-01
CMMD,200,500,COCO,5.000000e-03,3.447808e-01
CMMD,200,1000,COCO,5.000000e-03,3.451578e-01
CMMD,50,5,Virtual KITTI,5.000000e-03,6.791852e-01
CMMD,50,10,Virtual KITTI,5.000000e-03,6.963863e-01
CMMD,50,20,Virtual KITTI,5.000000e-03,4.533528e-01
CMMD,50,50,Virtual KITTI,5.000000e-03,4.685034e-01
CMMD,50,100,Virtual KITTI,5.000000e-03,4.615506e-01
CMMD,50,200,Virtual KITTI,5.000000e-03,4.595610e-01
CMMD,50,500,Virtual KITTI,5.000000e-03,4.489504e-01
CMMD,50,1000,Virtual KITTI,5.000000e-03,4.478677e-01
CMMD,50,5,KITTI Tracking,5.000000e-03,2.554532e-01
CMMD,50,10,KITTI Tracking,5.000000e-03,1.773266e-01
CMMD,50,20,KITTI Tracking,5.000000e-03,1.528498e-01
CMMD,50,50,KITTI Tracking,5.000000e-03,1.680219e-02
CMMD,50,100,KITTI Tracking,5.000000e-03,4.446554e-02
CMMD,50,200,KITTI Tracking,5.000000e-03,6.228578e-02
CMMD,50,500,KITTI Tracking,5.000000e-03,1.223028e-02
CMMD,50,1000,KITTI Tracking,5.000000e-03,1.225817e-02
CMMD,50,5,COCO,5.000000e-03,3.475414e-01
CMMD,50,10,COCO,5.000000e-03,3.543046e-01
CMMD,50,20,COCO,5.000000e-03,3.556744e-01
CMMD,50,50,COCO,5.000000e-03,3.629388e-01
CMMD,50,100,COCO,5.000000e-03,3.595279e-01
CMMD,50,200,COCO,5.000000e-03,3.608903e-01
CMMD,50,500,COCO,5.000000e-03,3.633219e-01
CMMD,50,1000,COCO,5.000000e-03,3.635574e-01
CMMD,20,5,Virtual KITTI,5.000000e-03,6.935264e-01
CMMD,20,10,Virtual KITTI,5.000000e-03,7.106276e-01
CMMD,20,20,Virtual KITTI,5.000000e-03,4.672978e-01
CMMD,20,50,Virtual KITTI,5.000000e-03,4.829400e-01
CMMD,20,100,Virtual KITTI,5.000000e-03,4.768674e-01
CMMD,20,200,Virtual KITTI,5.000000e-03,4.739698e-01
CMMD,20,500,Virtual KITTI,5.000000e-03,4.644601e-01
CMMD,20,1000,Virtual KITTI,5.000000e-03,4.649946e-01
CMMD,20,5,KITTI Tracking,5.000000e-03,2.821674e-01
CMMD,20,10,KITTI Tracking,5.000000e-03,2.008448e-01
CMMD,20,20,KITTI Tracking,5.000000e-03,1.623076e-01
CMMD,20,50,KITTI Tracking,5.000000e-03,2.731717e-02
CMMD,20,100,KITTI Tracking,5.000000e-03,6.030500e-02
CMMD,20,200,KITTI Tracking,5.000000e-03,7.704914e-02
CMMD,20,500,KITTI Tracking,5.000000e-03,1.777732e-02
CMMD,20,1000,KITTI Tracking,5.000000e-03,1.947367e-02
CMMD,20,5,COCO,5.000000e-03,3.726400e-01
CMMD,20,10,COCO,5.000000e-03,3.789335e-01
CMMD,20,20,COCO,5.000000e-03,3.815807e-01
CMMD,20,50,COCO,5.000000e-03,3.896274e-01
CMMD,20,100,COCO,5.000000e-03,3.864502e-01
CMMD,20,200,COCO,5.000000e-03,3.877507e-01
CMMD,20,500,COCO,5.000000e-03,3.904200e-01
CMMD,20,1000,COCO,5.000000e-03,3.908340e-01
