layer,layer_name,gamma,spearman_rho,pval,strict_mono,kendall_tau
0,conv_in,1e-09,0.05290430427582651,0.00018213701598425295,0.233,0.1152
0,conv_in,1.0186101701559773e-09,0.052889116631239685,0.00018291868986651538,0.235,0.1238
0,conv_in,1.0375666787451849e-09,0.053169931789001326,0.00016896324679734512,0.23,0.1252
0,conv_in,1.0568759711848051e-09,0.053539866973628905,0.00015210312999011972,0.24,0.1227
0,conv_in,1.0765446128423137e-09,0.05273004721862753,0.00019129728068703188,0.241,0.1149
0,conv_in,1.0965792912678099e-09,0.053010960922875223,0.00017673544041540103,0.25,0.1179
0,conv_in,1.116986818467825e-09,0.05279414449833429,0.00018787864504615,0.242,0.1262
0,conv_in,1.1377741332214901e-09,0.053071540867827706,0.0001737348304025333,0.25,0.1179
0,conv_in,1.1589483034398119e-09,0.05299246384662579,0.0001776612917404246,0.237,0.122
0,conv_in,1.180516528568803e-09,0.05331269963961051,0.0001622582615536578,0.241,0.1179
0,conv_in,1.2024861420374123e-09,0.05315081071454015,0.0001698807885353958,0.25,0.1239
0,conv_in,1.2248646137509333e-09,0.05341356703904735,0.00015767285847791135,0.247,0.1247
0,conv_in,1.2476595526308685e-09,0.05299021507751983,0.00017777416180097047,0.246,0.1207
0,conv_in,1.2708787092020595e-09,0.053129222892026276,0.00017092232974236015,0.248,0.123
0,conv_in,1.2945299782279134e-09,0.05311833649817179,0.0001714498369453634,0.248,0.1225
0,conv_in,1.3186214013947485e-09,0.05292733976585482,0.0001809574208805393,0.25,0.1174
0,conv_in,1.3431611700460181e-09,0.05266623808134733,0.0001947585337084961,0.248,0.1143
0,conv_in,1.3681576279674706e-09,0.052940219409669254,0.0001803010171839904,0.257,0.1231
0,conv_in,1.3936192742241434e-09,0.05285603060710841,0.00018463248198401653,0.255,0.1208
0,conv_in,1.4195547660500987e-09,0.05281978394796507,0.00018652730450318165,0.25,0.1068
0,conv_in,1.4459729217920195e-09,0.052613018136598536,0.0001976902972176678,0.258,0.1163
0,conv_in,1.4728827239075047e-09,0.053011568600301186,0.0001767051008643973,0.256,0.1217
0,conv_in,1.5002933220192166e-09,0.052895854275664136,0.00018257153017238608,0.261,0.1196
0,conv_in,1.5282140360258708e-09,0.05274332451968467,0.0001905843706140418,0.261,0.1177
0,conv_in,1.5566543592710589e-09,0.053009350553177445,0.0001768158651352741,0.257,0.1173
0,conv_in,1.5856239617711372e-09,0.05316803475884111,0.0001690540688053118,0.259,0.1189
0,conv_in,1.615132693503093e-09,0.05312069325018752,0.00017133550935281727,0.265,0.115
0,conv_in,1.6451905877536607e-09,0.052779263485375524,0.00018866717009128275,0.26,0.1136
0,conv_in,1.6758078645307687e-09,0.05284053355904246,0.0001854403778960288,0.251,0.1157
0,conv_in,1.7069949340384045e-09,0.05285051574339186,0.0001849196043509916,0.26,0.1169
0,conv_in,1.7387624002162505e-09,0.05297455580302596,0.00017856200199270692,0.262,0.1138
0,conv_in,1.7711210643450904e-09,0.0530597343157955,0.00017431584153313772,0.26,0.1145
0,conv_in,1.8040819287193808e-09,0.052775042727003944,0.00018889138789719565,0.264,0.1136
0,conv_in,1.8376562003881724e-09,0.05275118708423915,0.00019016337644354263,0.265,0.1136
0,conv_in,1.8718552949655752e-09,0.05290651802719554,0.0001820233416885176,0.263,0.1146
0,conv_in,1.906690840512252e-09,0.05291856775320954,0.00018140576661871953,0.264,0.1117
0,conv_in,1.9421746814890284e-09,0.052939952494516176,0.00018031459762333666,0.269,0.1148
0,conv_in,1.9783188827841624e-09,0.052765429599404966,0.00018940299744234356,0.26,0.1056
0,conv_in,2.0151357338155587e-09,0.053023317688275236,0.00017611946497951756,0.27,0.1134
0,conv_in,2.052637752709248e-09,0.052953996063170194,0.00017960137551796152,0.268,0.1172
0,conv_in,2.09083769055575e-09,0.05298610159716794,0.0001779807997624094,0.273,0.1129
0,conv_in,2.129748535745523e-09,0.05275821213452105,0.0001897879655097648,0.269,0.1132
0,conv_in,2.1693835183851823e-09,0.052888844170340496,0.00018293274156123252,0.267,0.1091
0,conv_in,2.2097561147959033e-09,0.05319686758777799,0.00016767861245782522,0.272,0.1178
0,conv_in,2.250880052095457e-09,0.052950761017587784,0.0001797654363361615,0.27,0.11
0,conv_in,2.2927693128656487e-09,0.05290996859000144,0.0001818462911109935,0.267,0.1132
0,conv_in,2.3354381399064818e-09,0.052927476404001986,0.00018095044542255627,0.27,0.1105
0,conv_in,2.378901041078891e-09,0.05309561630169863,0.00017255569377410388,0.267,0.1117
0,conv_in,2.4231727942376006e-09,0.05295414158659306,0.0001795939988097134,0.275,0.1139
0,conv_in,2.4682684522556873e-09,0.052886449918147595,0.0001830562645688402,0.272,0.1071
0,conv_in,2.5142033481427964e-09,0.0529515335037751,0.0001797262479805071,0.273,0.1097
0,conv_in,2.560993100258462e-09,0.052927579340856686,0.00018094519060234173,0.266,0.108
0,conv_in,2.6086536176225453e-09,0.05287525977417876,0.00018363462068681622,0.273,0.1052
0,conv_in,2.657201105324507e-09,0.05279842774656187,0.0001876522560240267,0.276,0.1068
0,conv_in,2.7066520700332356e-09,0.052935612643828296,0.0001805355408634219,0.275,0.1087
0,conv_in,2.7570233256095828e-09,0.05269078045278978,0.00019342035637135127,0.271,0.1011
0,conv_in,2.8083319988231753e-09,0.053028608798506446,0.00017585632474224707,0.272,0.1062
0,conv_in,2.860595535175739e-09,0.05282622499553384,0.0001861892640895866,0.275,0.1063
0,conv_in,2.9138317048327884e-09,0.052903061789324454,0.00018220084586462307,0.275,0.1077
0,conv_in,2.9680586086655964e-09,0.053070629231455634,0.0001737796279080235,0.272,0.1089
0,conv_in,3.0232946844057765e-09,0.05286219500201272,0.0001843120387436873,0.273,0.1027
0,conv_in,3.0795587129142296e-09,0.05297993081169739,0.00017829120853239805,0.271,0.1057
0,conv_in,3.1368698245668734e-09,0.05296498519565914,0.00017904512743275333,0.269,0.107
0,conv_in,3.1952475057592137e-09,0.05288678542332907,0.0001830389506394586,0.277,0.1068
0,conv_in,3.2547116055318414e-09,0.052812349468809534,0.00018691819940377718,0.275,0.1022
0,conv_in,3.3152823423194234e-09,0.052942649816478116,0.00018017740416370997,0.274,0.1042
0,conv_in,3.376980310825095e-09,0.05283670753449385,0.00018564034786315448,0.275,0.1047
0,conv_in,3.439826489022921e-09,0.05295877511852314,0.00017935926990877204,0.277,0.1032
0,conv_in,3.5038422452906756e-09,0.05296659536529742,0.0001789637599926528,0.277,0.103
0,conv_in,3.5690493456752222e-09,0.05291912061218204,0.0001813774786819058,0.28,0.1066
0,conv_in,3.635469961293318e-09,0.05301146353332493,0.00017671034620015045,0.277,0.1076
0,conv_in,3.703126675869931e-09,0.052894450848153016,0.00018264379120990957,0.279,0.1061
0,conv_in,3.772042493416993e-09,0.052965034185133965,0.0001790426513123497,0.277,0.106
0,conv_in,3.842240846055061e-09,0.05293906950515483,0.000180359530299939,0.276,0.1054
0,conv_in,3.913745601980376e-09,0.052835534883116396,0.0001857016779047797,0.274,0.0998
0,conv_in,3.9865810735804386e-09,0.05291048061714315,0.00018182003246726248,0.281,0.1037
0,conv_in,4.060772025700369e-09,0.052867910773232524,0.00018401538333169575,0.279,0.1056
