rank,dist_type,level,mean_dmos,mmd2,spearman_rho,spearman_p,kendall_tau,kendall_p,strict_mono
0,1,1,4.612222,-0.00373900,0.484707,1.0167e-08,0.354581,4.5100e-09,0.5081
1,3,1,4.604074,-0.00947058,,,,,
2,18,3,4.602963,0.17777205,,,,,
3,17,1,4.600370,-0.00996733,,,,,
4,8,1,4.579753,0.00056279,,,,,
5,9,1,4.553086,-0.01015484,,,,,
6,17,2,4.527531,-0.00525999,,,,,
7,18,2,4.518765,0.01992798,,,,,
8,16,1,4.505679,-0.00937533,,,,,
9,4,1,4.495062,0.09879720,,,,,
10,12,1,4.468395,-0.01124609,,,,,
11,19,1,4.419383,-0.00523043,,,,,
12,14,1,4.404444,-0.00976431,,,,,
13,1,2,4.381728,0.06683266,,,,,
14,18,4,4.369506,0.41827285,,,,,
15,10,1,4.338025,-0.00828934,,,,,
16,20,1,4.333333,-0.00280750,,,,,
17,25,3,4.290123,0.21394622,,,,,
18,16,2,4.287531,-0.00570583,,,,,
19,10,2,4.245556,0.01616883,,,,,
20,17,3,4.230864,-0.00859761,,,,,
21,5,1,4.226667,0.01704681,,,,,
22,18,1,4.218025,-0.01043773,,,,,
23,9,2,4.204691,-0.00929606,,,,,
24,22,1,4.168519,0.01039696,,,,,
25,25,4,4.141481,0.31428719,,,,,
26,6,1,4.108148,0.06562006,,,,,
27,3,2,4.095185,0.00535882,,,,,
28,19,2,4.086420,0.03079939,,,,,
29,6,2,3.973333,0.20172459,,,,,
30,20,2,3.937901,0.06654215,,,,,
31,22,2,3.933457,0.05656123,,,,,
32,18,5,3.903333,0.56431055,,,,,
33,11,1,3.893210,-0.00963652,,,,,
34,21,1,3.889136,0.04576361,,,,,
35,9,3,3.873333,-0.00320685,,,,,
36,10,3,3.865802,0.13167024,,,,,
37,2,1,3.862469,0.00548148,,,,,
38,25,2,3.858395,0.13715184,,,,,
39,20,3,3.772593,0.20056748,,,,,
40,6,3,3.718642,0.44879192,,,,,
41,22,3,3.685926,0.13458669,,,,,
42,12,2,3.682469,-0.00055933,,,,,
43,15,1,3.667654,-0.00076723,,,,,
44,16,3,3.632346,0.01179242,,,,,
45,13,1,3.583827,0.00524318,,,,,
46,14,2,3.581481,-0.00838423,,,,,
47,24,1,3.579012,-0.01039636,,,,,
48,17,4,3.534938,-0.00451303,,,,,
49,20,4,3.464444,0.28910959,,,,,
50,25,1,3.419383,0.03813493,,,,,
51,11,2,3.390370,-0.00737309,,,,,
52,22,4,3.372840,0.24565172,,,,,
53,8,2,3.330494,0.03568292,,,,,
54,25,5,3.323827,0.35542291,,,,,
55,20,5,3.261235,0.35209203,,,,,
56,19,3,3.235185,0.11818397,,,,,
