group,method,vkitti,coco,ratio,gamma,inversion
clone,Gram_std γ/10,8.266425e-02,8.707011e-02,0.9494,2.2351e-07,True
clone,Gram_std γ_med,4.041567e-01,3.432676e-01,1.1774,2.2351e-06,False
clone,Gram_std 10×γ,5.714391e-02,2.273753e-02,2.5132,2.2351e-05,False
clone,Gram_std 100×γ,2.267328e-03,1.097294e-03,2.0663,2.2351e-04,False
clone,Gram_raw γ/10,6.339335e-02,8.626592e-02,0.7349,7.2059e-12,True
clone,Gram_raw γ_med,3.127984e-01,3.382172e-01,0.9248,7.2059e-11,True
clone,Gram_raw 10×γ,9.930616e-02,4.389810e-02,2.2622,7.2059e-10,False
clone,Gram_raw 100×γ,5.836877e-03,2.224808e-03,2.6235,7.2059e-09,False
clone,CMMD γ=0.005,5.452443e-01,3.395961e-01,1.6056,5.0000e-03,False
clone,CMMD γ_med,4.958197e-01,3.304006e-01,1.5007,3.5930e-03,False
clone,Cosine CLIP,3.992220e-01,5.339128e-01,0.7477,,True
clone,FID CLIP,1.942240e+02,2.352883e+02,0.8255,,True
fog,Gram_std γ/10,3.319689e-01,8.707011e-02,3.8127,2.2351e-07,False
fog,Gram_std γ_med,9.697245e-01,3.432676e-01,2.8250,2.2351e-06,False
fog,Gram_std 10×γ,7.248624e-02,2.273753e-02,3.1880,2.2351e-05,False
fog,Gram_std 100×γ,2.716920e-03,1.097294e-03,2.4760,2.2351e-04,False
fog,Gram_raw γ/10,2.609935e-01,8.626592e-02,3.0255,7.2059e-12,False
fog,Gram_raw γ_med,1.002331e+00,3.382172e-01,2.9636,7.2059e-11,False
fog,Gram_raw 10×γ,1.999545e-01,4.389810e-02,4.5550,7.2059e-10,False
fog,Gram_raw 100×γ,9.916719e-03,2.224808e-03,4.4573,7.2059e-09,False
fog,CMMD γ=0.005,6.866732e-01,3.395961e-01,2.0220,5.0000e-03,False
fog,CMMD γ_med,6.212930e-01,3.304006e-01,1.8804,3.5930e-03,False
fog,Cosine CLIP,4.031220e-01,5.339128e-01,0.7550,,True
fog,FID CLIP,2.218124e+02,2.352883e+02,0.9427,,True
rain_sunset,Gram_std γ/10,1.218778e-01,8.707011e-02,1.3998,2.2351e-07,False
rain_sunset,Gram_std γ_med,5.102236e-01,3.432676e-01,1.4864,2.2351e-06,False
rain_sunset,Gram_std 10×γ,4.575736e-02,2.273753e-02,2.0124,2.2351e-05,False
rain_sunset,Gram_std 100×γ,1.491161e-03,1.097294e-03,1.3589,2.2351e-04,False
rain_sunset,Gram_raw γ/10,1.037505e-01,8.626592e-02,1.2027,7.2059e-12,False
rain_sunset,Gram_raw γ_med,4.448377e-01,3.382172e-01,1.3152,7.2059e-11,False
rain_sunset,Gram_raw 10×γ,9.605361e-02,4.389810e-02,2.1881,7.2059e-10,False
rain_sunset,Gram_raw 100×γ,4.408802e-03,2.224808e-03,1.9817,7.2059e-09,False
rain_sunset,CMMD γ=0.005,5.349520e-01,3.395961e-01,1.5753,5.0000e-03,False
rain_sunset,CMMD γ_med,4.913837e-01,3.304006e-01,1.4872,3.5930e-03,False
rain_sunset,Cosine CLIP,4.046724e-01,5.339128e-01,0.7579,,True
rain_sunset,FID CLIP,2.015801e+02,2.352883e+02,0.8567,,True
all_mix,Gram_std γ/10,1.208764e-01,8.707011e-02,1.3883,2.2351e-07,False
all_mix,Gram_std γ_med,4.552827e-01,3.432676e-01,1.3263,2.2351e-06,False
all_mix,Gram_std 10×γ,3.305664e-02,2.273753e-02,1.4538,2.2351e-05,False
all_mix,Gram_std 100×γ,1.392302e-03,1.097294e-03,1.2689,2.2351e-04,False
all_mix,Gram_raw γ/10,9.037066e-02,8.626592e-02,1.0476,7.2059e-12,False
all_mix,Gram_raw γ_med,3.766817e-01,3.382172e-01,1.1137,7.2059e-11,False
all_mix,Gram_raw 10×γ,6.703085e-02,4.389810e-02,1.5270,7.2059e-10,False
all_mix,Gram_raw 100×γ,3.331100e-03,2.224808e-03,1.4973,7.2059e-09,False
all_mix,CMMD γ=0.005,5.179337e-01,3.395961e-01,1.5251,5.0000e-03,False
all_mix,CMMD γ_med,4.766926e-01,3.304006e-01,1.4428,3.5930e-03,False
all_mix,Cosine CLIP,4.014660e-01,5.339128e-01,0.7519,,True
all_mix,FID CLIP,1.983301e+02,2.352883e+02,0.8429,,True
